shipment_id,created_date,shipped_date,delivered_date,sender_country,origin_center,destination_region,weight_grams,shipment_type,delivery_status,delay_reason,distance_km,return_reason,customer_rating,is_holiday_season
1,2024-12-15,2024-12-17,2024-12-19,LT,Siauliai,Vilnius,1250,Express,Delivered,None,341,,2,True
2,2024-10-17,2024-10-18,2024-10-19,LT,Vilnius,Siauliai,133,EMS,Delivered,None,188,,5,False
3,2024-01-14,2024-01-15,2024-01-18,LT,Panevezys,Kaunas,4004,Express,Delivered,None,250,,4,False
4,2024-08-25,2024-08-25,,LT,Panevezys,Klaipeda,4926,Express,Returned,Sorting issue,306,Damaged,5,False
5,2024-11-02,2024-11-04,2024-11-07,LT,Kaunas,Siauliai,2491,Registered,Delivered,None,120,,1,True
6,2024-09-05,2024-09-07,2024-09-10,LT,Kaunas,Kaunas,4914,EMS,Delivered,None,78,,5,False
7,2024-11-07,2024-11-09,2024-11-10,LT,Vilnius,Panevezys,3268,Registered,Delivered,None,287,,3,True
8,2024-05-27,2024-05-28,2024-05-29,LT,Siauliai,Vilnius,2698,Registered,Delivered,None,137,,3,False
9,2024-11-14,2024-11-14,2024-11-18,LT,Klaipeda,Vilnius,2956,Registered,Delivered,None,302,,1,True
10,2024-06-07,2024-06-07,2024-06-14,LT,Vilnius,Kaunas,2911,Express,Delayed,Weather,297,,2,False
11,2024-10-17,2024-10-17,,LT,Klaipeda,Panevezys,2840,Registered,Lost,Sorting issue,327,,3,False
12,2024-02-21,2024-02-23,2024-02-25,LT,Vilnius,Panevezys,3937,Express,Delivered,None,88,,5,False
13,2024-10-19,2024-10-19,2024-10-23,LT,Vilnius,Siauliai,1554,Express,Delivered,None,135,,2,False
14,2024-04-16,2024-04-17,2024-04-18,LT,Vilnius,Klaipeda,1025,Registered,Delivered,None,86,,1,False
15,2024-07-18,2024-07-20,2024-07-23,LT,Klaipeda,Panevezys,2680,EMS,Delivered,None,120,,2,False
16,2024-02-28,2024-02-29,2024-03-06,LT,Panevezys,Kaunas,102,Registered,Delayed,Sorting issue,322,,4,False
17,2024-11-02,2024-11-04,2024-11-07,LT,Siauliai,Siauliai,498,Registered,Delivered,None,145,,2,True
18,2024-06-13,2024-06-13,2024-06-14,LT,Klaipeda,Kaunas,2191,Registered,Delivered,None,146,,5,False
19,2024-02-14,2024-02-16,2024-02-19,LT,Kaunas,Vilnius,4661,Registered,Delivered,None,115,,1,False
20,2024-04-07,2024-04-07,2024-04-11,LT,Siauliai,Siauliai,4834,Standard,Delivered,None,60,,1,False
21,2024-01-20,2024-01-20,2024-01-22,LT,Kaunas,Siauliai,2153,EMS,Delivered,None,298,,5,False
22,2024-12-10,2024-12-12,2024-12-16,LT,Vilnius,Siauliai,1386,Registered,Delivered,None,10,,2,True
23,2024-02-05,2024-02-06,,LT,Siauliai,Vilnius,165,Standard,Returned,High volume,311,Recipient unavailable,2,False
24,2024-11-30,2024-11-30,2024-12-02,LT,Klaipeda,Panevezys,4462,EMS,Delivered,None,329,,5,True
25,2024-10-28,2024-10-30,2024-11-01,LT,Vilnius,Kaunas,3347,EMS,Delivered,None,59,,2,False
26,2024-12-30,2025-01-01,2025-01-04,LT,Vilnius,Kaunas,1740,Express,Delayed,Address error,163,,4,True
27,2024-07-31,2024-08-01,2024-08-03,LT,Kaunas,Kaunas,346,EMS,Delivered,None,86,,2,False
28,2024-02-13,2024-02-13,2024-02-21,LT,Klaipeda,Klaipeda,2989,Express,Delayed,Address error,105,,4,False
29,2024-06-23,2024-06-24,2024-06-28,LT,Panevezys,Vilnius,4533,Express,Delivered,None,51,,4,False
30,2024-08-16,2024-08-18,2024-08-20,LT,Klaipeda,Klaipeda,1099,Express,Delivered,None,124,,5,False
31,2024-05-10,2024-05-12,2024-05-19,LT,Panevezys,Kaunas,380,Standard,Delayed,Address error,36,,4,False
32,2024-07-20,2024-07-20,2024-07-22,LT,Klaipeda,Panevezys,4772,Registered,Delivered,None,51,,5,False
33,2024-03-01,2024-03-03,2024-03-09,LT,Vilnius,Siauliai,3814,Registered,Delayed,High volume,153,,2,False
34,2024-11-13,2024-11-15,,LT,Kaunas,Klaipeda,4747,Express,Lost,Sorting issue,6,,3,True
35,2024-07-19,2024-07-20,2024-07-24,LT,Siauliai,Kaunas,3281,EMS,Delivered,None,232,,2,False
36,2024-08-25,2024-08-25,2024-08-29,LT,Klaipeda,Kaunas,3884,EMS,Delivered,None,263,,3,False
37,2024-09-02,2024-09-04,,LT,Panevezys,Panevezys,1595,Express,Returned,Weather,71,Address incorrect,4,False
38,2024-10-18,2024-10-18,2024-10-22,LT,Klaipeda,Siauliai,2460,Standard,Delayed,Weather,169,,4,False
39,2024-06-15,2024-06-16,2024-06-23,LT,Vilnius,Kaunas,1145,Standard,Delayed,High volume,220,,4,False
40,2024-04-09,2024-04-10,2024-04-12,LT,Panevezys,Klaipeda,3970,Registered,Delivered,None,145,,3,False
41,2024-01-17,2024-01-17,2024-01-19,LT,Vilnius,Vilnius,2739,EMS,Delivered,None,340,,2,False
42,2024-08-06,2024-08-08,2024-08-12,LT,Siauliai,Klaipeda,2896,Standard,Delivered,None,338,,1,False
43,2024-03-03,2024-03-05,2024-03-08,LT,Panevezys,Siauliai,4294,Registered,Delivered,None,183,,1,False
44,2024-02-29,2024-03-02,2024-03-05,LT,Panevezys,Panevezys,2905,Standard,Delivered,None,323,,3,False
45,2024-01-02,2024-01-03,2024-01-06,LT,Vilnius,Kaunas,2257,Standard,Delivered,None,324,,4,False
46,2024-03-09,2024-03-10,,LT,Panevezys,Siauliai,2039,EMS,Returned,High volume,163,Recipient unavailable,2,False
47,2024-07-04,2024-07-06,2024-07-07,LT,Vilnius,Vilnius,3574,Registered,Delivered,None,279,,5,False
48,2024-10-14,2024-10-15,2024-10-18,LT,Vilnius,Panevezys,3720,Express,Delayed,High volume,139,,5,False
49,2024-08-15,2024-08-15,2024-08-18,LT,Panevezys,Panevezys,3872,EMS,Delivered,None,194,,4,False
50,2024-03-31,2024-04-02,2024-04-08,LT,Panevezys,Vilnius,526,EMS,Delayed,High volume,166,,2,False
51,2024-03-19,2024-03-19,2024-03-22,LT,Siauliai,Klaipeda,4640,Standard,Delivered,None,169,,5,False
52,2024-10-09,2024-10-09,2024-10-11,LT,Klaipeda,Kaunas,872,Express,Delivered,None,161,,1,False
53,2024-02-23,2024-02-25,2024-02-26,LT,Siauliai,Panevezys,2718,Express,Delivered,None,70,,5,False
54,2024-08-21,2024-08-22,2024-08-23,LT,Panevezys,Panevezys,2796,Standard,Delivered,None,240,,2,False
55,2024-04-29,2024-04-29,,LT,Klaipeda,Kaunas,4712,Standard,Returned,Address error,245,Recipient unavailable,2,False
56,2024-08-22,2024-08-23,2024-08-24,LT,Kaunas,Siauliai,1810,Express,Delivered,None,349,,5,False
57,2024-09-13,2024-09-14,2024-09-19,LT,Klaipeda,Klaipeda,3031,Express,Delayed,Weather,70,,3,False
